model,objective,split,step,epoch,loss,actual_ratio,reward_accuracy,reward_margin,learning_rate,grad_norm
Qwen3-1.7B standard IPO,standard_ipo,train,10,0.01107879795042238,2463.7052734375,0.5009990494698287,0.5875,0.003996622934937477,4.983388704318937e-07,736219.125
Qwen3-1.7B standard IPO,standard_ipo,train,20,0.02215759590084476,2508.5908203125,0.4998581036925316,0.4875,-0.000567519549804274,4.964931709117755e-07,672944.8125
Qwen3-1.7B standard IPO,standard_ipo,train,30,0.033236393851267136,2490.4986328125,0.5003698512911796,0.525,0.0014791550696827472,4.946474713916574e-07,690425.5625
Qwen3-1.7B standard IPO,standard_ipo,train,40,0.04431519180168952,2505.0423828125,0.5000571362674237,0.4875,0.0002270823642902542,4.928017718715393e-07,532178.625
Qwen3-1.7B standard IPO,standard_ipo,train,50,0.0553939897521119,2403.1828125,0.5028772253543139,0.5625,0.011520741698041093,4.909560723514212e-07,730583.375
Qwen3-1.7B standard IPO,standard_ipo,train,60,0.06647278770253427,2331.13359375,0.5046661481261253,0.65,0.01867534331395291,4.891103728313031e-07,642541.1875
Qwen3-1.7B standard IPO,standard_ipo,train,70,0.07755158565295665,2466.209375,0.5017218124121428,0.5625,0.00689704300602898,4.872646733111849e-07,1025020.1875
Qwen3-1.7B standard IPO,standard_ipo,train,80,0.08863038360337903,2468.145703125,0.5013241074979305,0.5375,0.005300806116429158,4.854189737910668e-07,577136.3125
Qwen3-1.7B standard IPO,standard_ipo,train,90,0.09970918155380142,2446.0697265625,0.5019521191716194,0.5375,0.007823719597945455,4.835732742709486e-07,665272.0625
Qwen3-1.7B standard IPO,standard_ipo,train,100,0.1107879795042238,2316.3892578125,0.5054116509854794,0.6625,0.021670240303501488,4.817275747508305e-07,546623.25
Qwen3-1.7B standard IPO,standard_ipo,eval,100,0.1107879795042238,2349.758544921875,0.5049252399810198,0.5924932975871313,0.019733508525106646,,
Qwen3-1.7B standard IPO,standard_ipo,train,110,0.12186677745464618,2338.6767578125,0.5053091004490853,0.6,0.021267368632834405,4.798818752307125e-07,620690.4375
Qwen3-1.7B standard IPO,standard_ipo,train,120,0.13294557540506854,2419.776953125,0.5035746552050113,0.625,0.014310445403680205,4.780361757105943e-07,523808.40625
Qwen3-1.7B standard IPO,standard_ipo,train,130,0.14402437335549093,2558.97890625,0.5007930260151625,0.45,0.0032250947901047767,4.761904761904761e-07,576109.5
Qwen3-1.7B standard IPO,standard_ipo,train,140,0.1551031713059133,2414.9970703125,0.503806222975254,0.5,0.015279537125024945,4.7434477667035803e-07,588577.5625
Qwen3-1.7B standard IPO,standard_ipo,train,150,0.1661819692563357,2285.17421875,0.5067151669412852,0.6125,0.026902672462165357,4.724990771502399e-07,506600.75
Qwen3-1.7B standard IPO,standard_ipo,train,160,0.17726076720675807,2341.1564453125,0.5058596778661013,0.6,0.02351464031962678,4.706533776301218e-07,495455.375
Qwen3-1.7B standard IPO,standard_ipo,train,170,0.18833956515718045,2317.101171875,0.5072840236127376,0.5875,0.029237030306831002,4.6880767811000366e-07,901691.625
Qwen3-1.7B standard IPO,standard_ipo,train,180,0.19941836310760283,2083.242578125,0.5137698415666818,0.7375,0.05529732860159129,4.6696197858988557e-07,465049.21875
Qwen3-1.7B standard IPO,standard_ipo,train,190,0.2104971610580252,2400.1716796875,0.5051543302834034,0.625,0.020656590699218214,4.6511627906976743e-07,696460.5
Qwen3-1.7B standard IPO,standard_ipo,train,200,0.2215759590084476,2116.337890625,0.5168918754905463,0.675,0.068240890908055,4.6327057954964934e-07,531791.0
Qwen3-1.7B standard IPO,standard_ipo,eval,200,0.2215759590084476,2234.752685546875,0.5131106726605515,0.646112600536193,0.05293979401258257,,
Qwen3-1.7B standard IPO,standard_ipo,train,210,0.23265475695886997,2431.701953125,0.508196160569787,0.5375,0.03305177444126457,4.6142488002953115e-07,567240.75
Qwen3-1.7B standard IPO,standard_ipo,train,220,0.24373355490929235,2107.09453125,0.5155221417546272,0.675,0.062418918602634224,4.59579180509413e-07,528053.0625
